a	b
282	79524
283	80089
284	80656
285	81225
286	81796
287	82369
288	82944
289	83521
290	84100
291	84681
292	85264
293	85849
294	86436
295	87025
296	87616
297	88209
298	88804
299	89401
300	90000
301	90601
302	91204
303	91809
304	92416
305	93025
306	93636
307	94249
308	94864
309	95481
310	96100
311	96721
312	97344
313	97969
314	98596
315	99225
316	99856
317	100489
318	101124
319	101761
320	102400
321	103041
322	103684
323	104329
324	104976
325	105625
326	106276
327	106929
328	107584
329	108241
330	108900
331	109561
332	110224
333	110889
334	111556
335	112225
336	112896
337	113569
338	114244
339	114921
340	115600
341	116281
342	116964
343	117649
344	118336
345	119025
346	119716
347	120409
348	121104
349	121801
350	122500
351	123201
352	123904
353	124609
354	125316
355	126025
356	126736
357	127449
358	128164
359	128881
360	129600
361	130321
362	131044
363	131769
364	132496
365	133225
366	133956
367	134689
368	135424
369	136161
370	136900
371	137641
372	138384
373	139129
374	139876
375	140625
376	141376
377	142129
378	142884
379	143641
380	144400
381	145161
382	145924
383	146689
384	147456
385	148225
386	148996
387	149769
388	150544
389	151321
390	152100
391	152881
392	153664
393	154449
394	155236
395	156025
396	156816
397	157609
398	158404
399	159201
400	160000
401	160801
402	161604
403	162409
404	163216
405	164025
406	164836
407	165649
408	166464
409	167281
410	168100
411	168921
412	169744
413	170569
414	171396
415	172225
416	173056
417	173889
418	174724
419	175561
420	176400
421	177241
422	178084
423	178929
424	179776
425	180625
426	181476
427	182329
428	183184
429	184041
430	184900
431	185761
432	186624
433	187489
434	188356
435	189225
436	190096
437	190969
438	191844
439	192721
440	193600
441	194481
442	195364
443	196249
444	197136
445	198025
446	198916
447	199809
448	200704
449	201601
450	202500
451	203401
452	204304
453	205209
454	206116
455	207025
456	207936
457	208849
458	209764
459	210681
460	211600
461	212521
462	213444
463	214369
464	215296
465	216225
466	217156
467	218089
468	219024
469	219961
470	220900
471	221841
472	222784
473	223729
474	224676
475	225625
476	226576
477	227529
478	228484
479	229441
480	230400
481	231361
482	232324
483	233289
484	234256
485	235225
486	236196
487	237169
488	238144
489	239121
490	240100
491	241081
492	242064
493	243049
494	244036
495	245025
496	246016
497	247009
498	248004
499	249001
500	250000
